,Found Exit,Group number,Number of friends,Friends,State,Social,Observer,run_id
4599,False,4.0,4.0,"[<__main__.Visitor object at 0x0000017B59691890>, <__main__.Visitor object at 0x0000017B59691790>, <__main__.Visitor object at 0x0000017B596918D0>, <__main__.Visitor object at 0x0000017B59691910>]",Seen crew - moving towards nearest exit,True,False,0
4600,False,6.0,2.0,"[<__main__.Visitor object at 0x0000017B59691990>, <__main__.Visitor object at 0x0000017B596919D0>]",IDGAF - moving towards main entrance,False,False,0
4601,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C50>, <__main__.Visitor object at 0x0000017B59691CD0>, <__main__.Visitor object at 0x0000017B59691D10>]",IDGAF - moving towards main entrance,False,False,0
4602,False,11.0,3.0,"[<__main__.Visitor object at 0x0000017B59691D90>, <__main__.Visitor object at 0x0000017B59691DD0>, <__main__.Visitor object at 0x0000017B59691E10>]",Seen crew - moving towards nearest exit,True,True,0
4603,False,12.0,0.0,[],IDGAF - moving towards main entrance,False,False,0
4604,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692050>, <__main__.Visitor object at 0x0000017B59692090>, <__main__.Visitor object at 0x0000017B59692110>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4605,False,16.0,3.0,"[<__main__.Visitor object at 0x0000017B59692150>, <__main__.Visitor object at 0x0000017B596921D0>, <__main__.Visitor object at 0x0000017B59692210>]",Seen crew - moving towards nearest exit,True,False,0
4606,False,19.0,4.0,"[<__main__.Visitor object at 0x0000017B59692490>, <__main__.Visitor object at 0x0000017B596924D0>, <__main__.Visitor object at 0x0000017B59692550>, <__main__.Visitor object at 0x0000017B59692590>]",Seen crew - moving towards nearest exit,True,False,0
4607,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4608,False,25.0,1.0,[<__main__.Visitor object at 0x0000017B59692990>],Found close exit - moving towards,False,True,0
4609,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4610,False,32.0,2.0,"[<__main__.Visitor object at 0x0000017B59692D90>, <__main__.Visitor object at 0x0000017B59692E10>]",Seen crew - moving towards nearest exit,False,True,0
4611,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4612,,,,,,,,0
4613,,,,,,,,0
4614,,,,,,,,0
4615,,,,,,,,0
4616,,,,,,,,0
4617,,,,,,,,0
4618,,,,,,,,0
4619,False,0.0,1.0,[<__main__.Visitor object at 0x0000017B3297F650>],Seen crew - moving towards nearest exit,True,True,0
4620,False,2.0,2.0,"[<__main__.Visitor object at 0x0000017B57252190>, <__main__.Visitor object at 0x0000017B596917D0>]",No friends in vision - moving randomly till timer or see friends,True,True,0
4621,False,6.0,2.0,"[<__main__.Visitor object at 0x0000017B59691990>, <__main__.Visitor object at 0x0000017B596919D0>]",IDGAF - moving towards main entrance,False,False,0
4622,False,10.0,3.0,"[<__main__.Visitor object at 0x0000017B59691C50>, <__main__.Visitor object at 0x0000017B59691CD0>, <__main__.Visitor object at 0x0000017B59691D10>]",IDGAF - moving towards main entrance,False,False,0
4623,False,15.0,3.0,"[<__main__.Visitor object at 0x0000017B59692050>, <__main__.Visitor object at 0x0000017B59692090>, <__main__.Visitor object at 0x0000017B59692110>]",Seen crew - moving towards nearest exit,True,True,0
4624,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4625,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4626,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4627,,,,,,,,0
4628,,,,,,,,0
4629,,,,,,,,0
4630,,,,,,,,0
4631,,,,,,,,0
4632,,,,,,,,0
4633,,,,,,,,0
4634,False,2.0,2.0,"[<__main__.Visitor object at 0x0000017B57252190>, <__main__.Visitor object at 0x0000017B596917D0>]",Seen crew - moving towards nearest exit,True,True,0
4635,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4636,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4637,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4638,,,,,,,,0
4639,,,,,,,,0
4640,,,,,,,,0
4641,,,,,,,,0
4642,,,,,,,,0
4643,,,,,,,,0
4644,,,,,,,,0
4645,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4646,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4647,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4648,,,,,,,,0
4649,,,,,,,,0
4650,,,,,,,,0
4651,,,,,,,,0
4652,,,,,,,,0
4653,,,,,,,,0
4654,,,,,,,,0
4655,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],No friends in vision - moving randomly till timer or see friends,True,True,0
4656,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4657,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4658,,,,,,,,0
4659,,,,,,,,0
4660,,,,,,,,0
4661,,,,,,,,0
4662,,,,,,,,0
4663,,,,,,,,0
4664,,,,,,,,0
4665,False,20.0,1.0,[<__main__.Visitor object at 0x0000017B596925D0>],Seen crew - moving towards nearest exit,True,True,0
4666,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4667,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4668,,,,,,,,0
4669,,,,,,,,0
4670,,,,,,,,0
4671,,,,,,,,0
4672,,,,,,,,0
4673,,,,,,,,0
4674,,,,,,,,0
4675,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4676,False,33.0,0.0,[],No friends in vision - moving randomly till timer,True,False,0
4677,,,,,,,,0
4678,,,,,,,,0
4679,,,,,,,,0
4680,,,,,,,,0
4681,,,,,,,,0
4682,,,,,,,,0
4683,,,,,,,,0
4684,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4685,False,33.0,0.0,[],Friend found with NO target location - go to main exit,True,False,0
4686,,,,,,,,0
4687,,,,,,,,0
4688,,,,,,,,0
4689,,,,,,,,0
4690,,,,,,,,0
4691,,,,,,,,0
4692,,,,,,,,0
4693,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4694,False,33.0,0.0,[],Friend found with NO target location - go to main exit,True,False,0
4695,,,,,,,,0
4696,,,,,,,,0
4697,,,,,,,,0
4698,,,,,,,,0
4699,,,,,,,,0
4700,,,,,,,,0
4701,,,,,,,,0
4702,False,29.0,1.0,[<__main__.Visitor object at 0x0000017B59692B50>],No friends in vision - moving randomly till timer or see friends,True,True,0
4703,False,33.0,0.0,[],Friend found with NO target location - go to main exit,True,False,0
4704,,,,,,,,0
4705,,,,,,,,0
4706,,,,,,,,0
