Active Agents,Exited Agents,Cumulative Exited Agents,Agents per Cell - Main Exit,Agents per Cell - South West Exit,Agents per Cell - North West Exit,Agents per Cell - East Exit,Agents per Cell - South East Exit,Agents per Cell - First South Exit,Agents per Cell - First North Exit,Agents per Cell - Stairs North,Agents per Cell - Stairs South,Agents per Cell - North Stairs,Agents per Cell - South Stairs,scenario_id,replication_id
1004,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7,0
1004,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
1004,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,7,0
1004,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7,0
1004,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.25,0.75,7,0
1004,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.25,1.25,7,0
1004,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.25,1.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,7,0
1004,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.25,1.0,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,7,0
1004,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,7,0
1004,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.25,1.25,7,0
1004,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,7,0
1004,0,0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,7,0
1004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,7,0
1004,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.25,1.5,7,0
1004,0,0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.75,7,0
